               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12052,            0.034757,            0.036136,             0.04419,             0.06383,            0.025311,           0.0078474,             0.11177,            0.042984,             0.03484,             0.07039,             0.00329,             0.00329
                   1,            0.092681,            0.030749,            0.027116,             0.54949,             0.40042,             0.39643,             0.15377,            0.076518,            0.045611,            0.018455,            0.040368,           0.0066015,           0.0066015
                   2,            0.080527,            0.027693,            0.011489,             0.41999,             0.51285,             0.34886,             0.12322,             0.07716,            0.035028,           0.0079095,            0.010324,            0.009891,            0.009891
                   3,            0.069425,             0.02539,           0.0065595,             0.72095,             0.61281,             0.63351,             0.27202,            0.057245,            0.030411,           0.0050307,            0.009901,            0.009901,            0.009901
                   4,             0.06152,             0.02303,           0.0055208,             0.81608,             0.66719,             0.73041,             0.35289,            0.051748,            0.031587,           0.0041696,            0.009901,            0.009901,            0.009901
                   5,            0.057239,            0.021659,            0.004933,             0.84996,             0.69496,             0.75815,             0.37495,            0.049696,            0.028314,           0.0040643,            0.009868,            0.009868,            0.009868
                   6,              0.0546,            0.020709,           0.0046457,              0.8815,             0.72028,             0.77902,             0.41198,            0.045305,            0.026707,           0.0037509,            0.009835,            0.009835,            0.009835
                   7,            0.052414,            0.020008,           0.0043775,             0.90243,             0.74265,             0.81231,             0.45259,            0.042985,            0.026088,           0.0037234,            0.009802,            0.009802,            0.009802
                   8,            0.050561,            0.019233,           0.0042106,             0.90024,             0.74711,             0.80549,             0.44713,            0.042041,            0.025803,           0.0036063,            0.009769,            0.009769,            0.009769
                   9,            0.048971,            0.019088,           0.0040801,             0.90297,             0.76722,             0.82945,              0.4689,            0.041353,            0.025134,           0.0034478,            0.009736,            0.009736,            0.009736
                  10,            0.047737,            0.018694,           0.0039675,             0.91617,             0.77199,              0.8406,             0.48986,             0.03978,            0.024799,           0.0034241,            0.009703,            0.009703,            0.009703
                  11,            0.046681,            0.018277,           0.0038433,              0.9077,              0.7741,             0.83753,             0.47168,            0.041374,            0.025073,           0.0033001,             0.00967,             0.00967,             0.00967
                  12,            0.045903,            0.018049,           0.0037749,             0.91147,             0.79069,             0.85122,              0.4949,            0.039064,            0.024502,           0.0032849,            0.009637,            0.009637,            0.009637
                  13,            0.045051,            0.017766,           0.0037212,             0.91438,              0.7807,             0.84393,             0.50013,            0.038843,            0.024156,           0.0032129,            0.009604,            0.009604,            0.009604
                  14,            0.044166,            0.017512,           0.0036023,             0.91472,              0.7898,             0.84296,             0.51307,            0.037929,             0.02382,           0.0031745,            0.009571,            0.009571,            0.009571
                  15,            0.043455,            0.017223,           0.0035515,             0.92139,             0.78872,              0.8488,             0.50713,            0.038051,            0.023933,           0.0031587,            0.009538,            0.009538,            0.009538
                  16,            0.042928,            0.016842,           0.0035277,             0.91978,             0.79954,             0.85901,             0.52009,            0.037451,            0.023843,           0.0031555,            0.009505,            0.009505,            0.009505
                  17,            0.042214,            0.016733,           0.0034445,             0.92254,             0.79898,             0.85642,             0.51392,            0.037319,            0.023659,           0.0031003,            0.009472,            0.009472,            0.009472
                  18,            0.042409,            0.016822,           0.0033928,             0.92748,             0.79515,             0.85864,             0.52453,            0.037354,            0.023707,            0.003104,            0.009439,            0.009439,            0.009439
                  19,             0.04203,            0.016886,           0.0033725,              0.9256,             0.79709,             0.85537,              0.5252,            0.036809,            0.023478,           0.0030188,            0.009406,            0.009406,            0.009406
                  20,            0.041576,            0.016749,           0.0034199,             0.93328,             0.80266,             0.86557,             0.53593,            0.036421,            0.023371,           0.0030366,            0.009373,            0.009373,            0.009373
                  21,            0.040931,            0.016347,           0.0033117,             0.92941,             0.80658,             0.86608,             0.53392,            0.036522,            0.023438,             0.00299,             0.00934,             0.00934,             0.00934
                  22,            0.040722,            0.016407,           0.0032694,             0.93183,             0.80435,             0.86736,             0.53581,            0.036366,            0.023479,            0.003032,            0.009307,            0.009307,            0.009307
                  23,            0.040616,            0.016334,           0.0032846,             0.92803,              0.8062,             0.86841,             0.54353,            0.035954,            0.023242,           0.0029707,            0.009274,            0.009274,            0.009274
